"","EV","ERV","FWER","FDR","Power"
"carve_gam5_B=5select=0.5",11.268,4.48,0.01,0.715462382649191,0.758
"split_gam5_B=5select=0.5",11.268,4.48,0,0.715462382649191,0
"carve_gam30_B=5select=0.5",11.268,4.48,0,0.715462382649191,0.722
"split_gam30_B=5select=0.5",11.268,4.48,0,0.715462382649191,0
"carve_gam5_B=5select=0.75",10.636,4.958,0,0.681901439148329,0.764
"split_gam5_B=5select=0.75",10.636,4.958,0,0.681901439148329,0
"carve_gam30_B=5select=0.75",10.636,4.958,0,0.681901439148329,0.772
"split_gam30_B=5select=0.75",10.636,4.958,0,0.681901439148329,0
"carve_gam5_B=5select=0.9",10.644,5,0,0.680257952571165,0.722
"split_gam5_B=5select=0.9",10.644,5,0,0.680257952571165,0
"carve_gam30_B=5select=0.9",10.644,5,0,0.680257952571165,0.73
"split_gam30_B=5select=0.9",10.644,5,0,0.680257952571165,0
"carve_gam5_B=5select=0.95",10.622,5,0.01,0.679811380997599,0.706
"split_gam5_B=5select=0.95",10.622,5,0,0.679811380997599,0
"carve_gam30_B=5select=0.95",10.622,5,0,0.679811380997599,0.63
"split_gam30_B=5select=0.95",10.622,5,0,0.679811380997599,0
"carve_gam5_B=5select=0.99",10.626,5,0.01,0.679895042188097,0.442
"split_gam5_B=5select=0.99",10.626,5,0,0.679895042188097,0
"carve_gam30_B=5select=0.99",10.626,5,0,0.679895042188097,0.362
"split_gam30_B=5select=0.99",10.626,5,0,0.679895042188097,0
"carve_gam5_B=10select=0.5",11.235,4.501,0.02,0.713963480228776,0.756
"split_gam5_B=10select=0.5",11.235,4.501,0,0.713963480228776,0
"carve_gam30_B=10select=0.5",11.235,4.501,0,0.713963480228776,0.738
"split_gam30_B=10select=0.5",11.235,4.501,0,0.713963480228776,0
"carve_gam5_B=10select=0.75",10.679,4.961,0,0.682739890264752,0.71
"split_gam5_B=10select=0.75",10.679,4.961,0,0.682739890264752,0
"carve_gam30_B=10select=0.75",10.679,4.961,0,0.682739890264752,0.766
"split_gam30_B=10select=0.75",10.679,4.961,0,0.682739890264752,0
"carve_gam5_B=10select=0.9",10.64,5,0,0.680244185311531,0.71
"split_gam5_B=10select=0.9",10.64,5,0,0.680244185311531,0
"carve_gam30_B=10select=0.9",10.64,5,0,0.680244185311531,0.726
"split_gam30_B=10select=0.9",10.64,5,0,0.680244185311531,0
"carve_gam5_B=10select=0.95",10.572,5,0,0.678826866358073,0.724
"split_gam5_B=10select=0.95",10.572,5,0,0.678826866358073,0
"carve_gam30_B=10select=0.95",10.572,5,0,0.678826866358073,0.662
"split_gam30_B=10select=0.95",10.572,5,0,0.678826866358073,0
"carve_gam5_B=10select=0.99",10.618,5,0,0.679773165602733,0.434
"split_gam5_B=10select=0.99",10.618,5,0,0.679773165602733,0
"carve_gam30_B=10select=0.99",10.618,5,0,0.679773165602733,0.322
"split_gam30_B=10select=0.99",10.618,5,0,0.679773165602733,0
"carve_gam5_B=20select=0.5",11.2425,4.498,0,0.714229433701696,0.742
"split_gam5_B=20select=0.5",11.2425,4.498,0,0.714229433701696,0
"carve_gam30_B=20select=0.5",11.2425,4.498,0,0.714229433701696,0.732
"split_gam30_B=20select=0.5",11.2425,4.498,0,0.714229433701696,0
"carve_gam5_B=20select=0.75",10.7005,4.9635,0,0.683095744891652,0.706
"split_gam5_B=20select=0.75",10.7005,4.9635,0,0.683095744891652,0
"carve_gam30_B=20select=0.75",10.7005,4.9635,0,0.683095744891652,0.758
"split_gam30_B=20select=0.75",10.7005,4.9635,0,0.683095744891652,0
"carve_gam5_B=20select=0.9",10.6315,5,0,0.680099018642624,0.678
"split_gam5_B=20select=0.9",10.6315,5,0,0.680099018642624,0
"carve_gam30_B=20select=0.9",10.6315,5,0,0.680099018642624,0.728
"split_gam30_B=20select=0.9",10.6315,5,0,0.680099018642624,0
"carve_gam5_B=20select=0.95",10.594,5,0,0.679317000647104,0.702
"split_gam5_B=20select=0.95",10.594,5,0,0.679317000647104,0
"carve_gam30_B=20select=0.95",10.594,5,0,0.679317000647104,0.67
"split_gam30_B=20select=0.95",10.594,5,0,0.679317000647104,0
"carve_gam5_B=20select=0.99",10.5915,5,0,0.679246279749076,0.38
