"","EV","ERV","FWER","FDR","Power"
"carve_gam5_B=5select=0.9nActive=2",13.452,2,0,0.870492926863012,0.94
"split_gam5_B=5select=0.9nActive=2",13.452,2,0,0.870492926863012,0
"carve_gam30_B=5select=0.9nActive=2",13.452,2,0,0.870492926863012,0.925
"split_gam30_B=5select=0.9nActive=2",13.452,2,0,0.870492926863012,0
"carve_gam5_B=5select=0.9nActive=50",6.992,8.424,0.05,0.453655640554528,4e-04
"split_gam5_B=5select=0.9nActive=50",6.992,8.424,0,0.453655640554528,0
"carve_gam30_B=5select=0.9nActive=50",6.992,8.424,0.03,0.453655640554528,2e-04
"split_gam30_B=5select=0.9nActive=50",6.992,8.424,0,0.453655640554528,0
"carve_gam5_B=5select=0.9nActive=10",8.17,7.314,0,0.527514088580581,0.058
"split_gam5_B=5select=0.9nActive=10",8.17,7.314,0,0.527514088580581,0
"carve_gam30_B=5select=0.9nActive=10",8.17,7.314,0,0.527514088580581,0.036
"split_gam30_B=5select=0.9nActive=10",8.17,7.314,0,0.527514088580581,0
"carve_gam5_B=5select=0.95nActive=5",11.298,4.102,0.04,0.733572815402234,0.078
"split_gam5_B=5select=0.95nActive=5",11.298,4.102,0,0.733572815402234,0
"carve_gam30_B=5select=0.95nActive=5",11.298,4.102,0,0.733572815402234,0.038
"split_gam30_B=5select=0.95nActive=5",11.298,4.102,0,0.733572815402234,0
"carve_gam5_B=5select=0.95nActive=2",13.338,2,0.01,0.869544048891425,0.905
"split_gam5_B=5select=0.95nActive=2",13.338,2,0,0.869544048891425,0
"carve_gam30_B=5select=0.95nActive=2",13.338,2,0,0.869544048891425,0.82
"split_gam30_B=5select=0.95nActive=2",13.338,2,0,0.869544048891425,0
"carve_gam5_B=5select=0.95nActive=50",6.784,8.552,0.02,0.442261243578486,0.0012
"split_gam5_B=5select=0.95nActive=50",6.784,8.552,0,0.442261243578486,0
"carve_gam30_B=5select=0.95nActive=50",6.784,8.552,0.02,0.442261243578486,2e-04
"split_gam30_B=5select=0.95nActive=50",6.784,8.552,0,0.442261243578486,0
"carve_gam5_B=5select=0.95nActive=10",7.78,7.658,0.01,0.503697452789989,0.054
"split_gam5_B=5select=0.95nActive=10",7.78,7.658,0,0.503697452789989,0
"carve_gam30_B=5select=0.95nActive=10",7.78,7.658,0,0.503697452789989,0.036
"split_gam30_B=5select=0.95nActive=10",7.78,7.658,0,0.503697452789989,0
"carve_gam5_B=5select=0.99nActive=5",11.03,4.32,0.01,0.718370633886037,0.046
"split_gam5_B=5select=0.99nActive=5",11.03,4.32,0,0.718370633886037,0
"carve_gam30_B=5select=0.99nActive=5",11.03,4.32,0,0.718370633886037,0.03
"split_gam30_B=5select=0.99nActive=5",11.03,4.32,0,0.718370633886037,0
"carve_gam5_B=5select=0.99nActive=2",13.336,2,0.01,0.869472413286348,0.555
"split_gam5_B=5select=0.99nActive=2",13.336,2,0,0.869472413286348,0
"carve_gam30_B=5select=0.99nActive=2",13.336,2,0,0.869472413286348,0.46
"split_gam30_B=5select=0.99nActive=2",13.336,2,0,0.869472413286348,0
"carve_gam5_B=5select=0.99nActive=50",6.704,8.718,0,0.434555251738133,8e-04
"split_gam5_B=5select=0.99nActive=50",6.704,8.718,0,0.434555251738133,0
"carve_gam30_B=5select=0.99nActive=50",6.704,8.718,0,0.434555251738133,0
"split_gam30_B=5select=0.99nActive=50",6.704,8.718,0,0.434555251738133,0
"carve_gam5_B=5select=0.99nActive=10",7.714,7.708,0.01,0.499826015840601,0.013
"split_gam5_B=5select=0.99nActive=10",7.714,7.708,0,0.499826015840601,0
"carve_gam30_B=5select=0.99nActive=10",7.714,7.708,0,0.499826015840601,0.01
"split_gam30_B=5select=0.99nActive=10",7.714,7.708,0,0.499826015840601,0
"carve_gam5_B=10select=0.5nActive=5",13.059,2.52,0.15,0.838216550788597,0.222
"split_gam5_B=10select=0.5nActive=5",13.059,2.52,0.04,0.838216550788597,0.026
"carve_gam30_B=10select=0.5nActive=5",13.059,2.52,0.01,0.838216550788597,0.102
"split_gam30_B=10select=0.5nActive=5",13.059,2.52,0,0.838216550788597,0
"carve_gam5_B=10select=0.5nActive=2",13.693,1.982,0.01,0.873544835697695,0.995
"split_gam5_B=10select=0.5nActive=2",13.693,1.982,0,0.873544835697695,0
"carve_gam30_B=10select=0.5nActive=2",13.693,1.982,0,0.873544835697695,0.985
"split_gam30_B=10select=0.5nActive=2",13.693,1.982,0,0.873544835697695,0
"carve_gam5_B=10select=0.5nActive=50",8.807,6.776,0.23,0.565075970903947,0.005
"split_gam5_B=10select=0.5nActive=50",8.807,6.776,0,0.565075970903947,0
"carve_gam30_B=10select=0.5nActive=50",8.807,6.776,0.03,0.565075970903947,4e-04
