"","EV","ERV","FWER","FDR","Power"
"carve_gam5_B=5select=0.5",14.008,1.508,0.13,0.902858678325784,0.044
"split_gam5_B=5select=0.5",14.008,1.508,0,0.902858678325784,0
"carve_gam30_B=5select=0.5",14.008,1.508,0.02,0.902858678325784,0.022
"split_gam30_B=5select=0.5",14.008,1.508,0,0.902858678325784,0
"carve_gam5_B=5select=0.75",13.396,1.938,0.04,0.873548987285414,0.042
"split_gam5_B=5select=0.75",13.396,1.938,0.06,0.873548987285414,0.026
"carve_gam30_B=5select=0.75",13.396,1.938,0,0.873548987285414,0.02
"split_gam30_B=5select=0.75",13.396,1.938,0,0.873548987285414,0
"carve_gam5_B=5select=0.9",12.99,2.164,0.07,0.8574412358369,0.02
"split_gam5_B=5select=0.9",12.99,2.164,0,0.8574412358369,0
"carve_gam30_B=5select=0.9",12.99,2.164,0.01,0.8574412358369,0.014
"split_gam30_B=5select=0.9",12.99,2.164,0,0.8574412358369,0
"carve_gam5_B=5select=0.95",12.854,2.386,0.01,0.843278399937779,0.012
"split_gam5_B=5select=0.95",12.854,2.386,0,0.843278399937779,0
"carve_gam30_B=5select=0.95",12.854,2.386,0,0.843278399937779,0.004
"split_gam30_B=5select=0.95",12.854,2.386,0,0.843278399937779,0
"carve_gam5_B=5select=0.99",12.794,2.448,0.03,0.839552020799715,0.006
"split_gam5_B=5select=0.99",12.794,2.448,0,0.839552020799715,0
"carve_gam30_B=5select=0.99",12.794,2.448,0,0.839552020799715,0.002
"split_gam30_B=5select=0.99",12.794,2.448,0,0.839552020799715,0
"carve_gam5_B=10select=0.5",14.075,1.437,0.17,0.907412898891013,0.048
"split_gam5_B=10select=0.5",14.075,1.437,0,0.907412898891013,0
"carve_gam30_B=10select=0.5",14.075,1.437,0.03,0.907412898891013,0.026
"split_gam30_B=10select=0.5",14.075,1.437,0,0.907412898891013,0
"carve_gam5_B=10select=0.75",13.406,1.949,0.11,0.873049103091669,0.058
"split_gam5_B=10select=0.75",13.406,1.949,0.09,0.873049103091669,0.04
