"","EV","ERV","FWER","FDR","Power"
"split_gam5_B=5select=0.5n=600p=200",27.4,4.994,0,0.845808378135755,0
"carve_gam30_B=5select=0.5n=600p=200",27.4,4.994,0.01,0.845808378135755,0.978
"split_gam30_B=5select=0.5n=600p=200",27.4,4.994,0,0.845808378135755,0
"carve_gam5_B=5select=0.5n=50p=1000",6.922,0.756,0.02,0.901490213089284,0.02
"split_gam5_B=5select=0.5n=50p=1000",6.922,0.756,0,0.901490213089284,0
"carve_gam30_B=5select=0.5n=50p=1000",6.922,0.756,0,0.901490213089284,0.004
"split_gam30_B=5select=0.5n=50p=1000",6.922,0.756,0,0.901490213089284,0
"carve_gam5_B=5select=0.75n=100p=200",11.846,3.522,0.04,0.770773021897559,0.164
"split_gam5_B=5select=0.75n=100p=200",11.846,3.522,0.08,0.770773021897559,0.05
"carve_gam30_B=5select=0.75n=100p=200",11.846,3.522,0.01,0.770773021897559,0.126
"split_gam30_B=5select=0.75n=100p=200",11.846,3.522,0,0.770773021897559,0
"carve_gam5_B=5select=0.75n=50p=200",4.94,2.834,0.01,0.635247811576759,0.06
"split_gam5_B=5select=0.75n=50p=200",4.94,2.834,0,0.635247811576759,0
"carve_gam30_B=5select=0.75n=50p=200",4.94,2.834,0,0.635247811576759,0.04
"split_gam30_B=5select=0.75n=50p=200",4.94,2.834,0,0.635247811576759,0
"carve_gam5_B=5select=0.75n=100p=133",10.704,4.96,0,0.683242680962834,0.472
"split_gam5_B=5select=0.75n=100p=133",10.704,4.96,0,0.683242680962834,0
"carve_gam30_B=5select=0.75n=100p=133",10.704,4.96,0,0.683242680962834,0.484
"split_gam30_B=5select=0.75n=100p=133",10.704,4.96,0,0.683242680962834,0
"carve_gam5_B=5select=0.75n=200p=200",10.334,4.996,0,0.673914491834406,0.992
"split_gam5_B=5select=0.75n=200p=200",10.334,4.996,0.03,0.673914491834406,0.03
"carve_gam30_B=5select=0.75n=200p=200",10.334,4.996,0,0.673914491834406,0.99
"split_gam30_B=5select=0.75n=200p=200",10.334,4.996,0,0.673914491834406,0
"carve_gam5_B=5select=0.75n=600p=200",26.906,5,0.06,0.843243098145164,1
"split_gam5_B=5select=0.75n=600p=200",26.906,5,0,0.843243098145164,0
"carve_gam30_B=5select=0.75n=600p=200",26.906,5,0.01,0.843243098145164,1
"split_gam30_B=5select=0.75n=600p=200",26.906,5,0,0.843243098145164,0
"carve_gam5_B=5select=0.75n=50p=1000",6.22,1.326,0.01,0.823862505973187,0.012
"split_gam5_B=5select=0.75n=50p=1000",6.22,1.326,0,0.823862505973187,0
"carve_gam30_B=5select=0.75n=50p=1000",6.22,1.326,0,0.823862505973187,0.002
"split_gam30_B=5select=0.75n=50p=1000",6.22,1.326,0,0.823862505973187,0
"carve_gam5_B=5select=0.9n=100p=200",11.352,4.04,0.02,0.737494821238858,0.128
"split_gam5_B=5select=0.9n=100p=200",11.352,4.04,0,0.737494821238858,0
"carve_gam30_B=5select=0.9n=100p=200",11.352,4.04,0,0.737494821238858,0.09
"split_gam30_B=5select=0.9n=100p=200",11.352,4.04,0,0.737494821238858,0
"carve_gam5_B=5select=0.9n=50p=200",4.464,3.252,0.01,0.578310210450303,0.052
"split_gam5_B=5select=0.9n=50p=200",4.464,3.252,0,0.578310210450303,0
"carve_gam30_B=5select=0.9n=50p=200",4.464,3.252,0.01,0.578310210450303,0.048
"split_gam30_B=5select=0.9n=50p=200",4.464,3.252,0,0.578310210450303,0
"carve_gam5_B=5select=0.9n=100p=133",10.538,4.99,0,0.678497483275548,0.518
"split_gam5_B=5select=0.9n=100p=133",10.538,4.99,0,0.678497483275548,0
"carve_gam30_B=5select=0.9n=100p=133",10.538,4.99,0,0.678497483275548,0.516
"split_gam30_B=5select=0.9n=100p=133",10.538,4.99,0,0.678497483275548,0
"carve_gam5_B=5select=0.9n=200p=200",10.362,5,0.01,0.674364397380303,0.994
"split_gam5_B=5select=0.9n=200p=200",10.362,5,0,0.674364397380303,0
"carve_gam30_B=5select=0.9n=200p=200",10.362,5,0.01,0.674364397380303,0.988
"split_gam30_B=5select=0.9n=200p=200",10.362,5,0,0.674364397380303,0
"carve_gam5_B=5select=0.9n=600p=200",26.726,5,0.05,0.842340373159741,0.998
"split_gam5_B=5select=0.9n=600p=200",26.726,5,0,0.842340373159741,0
"carve_gam30_B=5select=0.9n=600p=200",26.726,5,0.01,0.842340373159741,0.996
"split_gam30_B=5select=0.9n=600p=200",26.726,5,0,0.842340373159741,0
"carve_gam5_B=5select=0.9n=50p=1000",5.648,1.882,0,0.749698706122855,0.004
"split_gam5_B=5select=0.9n=50p=1000",5.648,1.882,0,0.749698706122855,0
"carve_gam30_B=5select=0.9n=50p=1000",5.648,1.882,0,0.749698706122855,0.002
"split_gam30_B=5select=0.9n=50p=1000",5.648,1.882,0,0.749698706122855,0
"carve_gam5_B=5select=0.95n=100p=200",11.298,4.102,0.04,0.733572815402234,0.078
"split_gam5_B=5select=0.95n=100p=200",11.298,4.102,0,0.733572815402234,0
"carve_gam30_B=5select=0.95n=100p=200",11.298,4.102,0,0.733572815402234,0.038
"split_gam30_B=5select=0.95n=100p=200",11.298,4.102,0,0.733572815402234,0
"carve_gam5_B=5select=0.95n=50p=200",4.438,3.26,0.01,0.576167723536145,0.062
"split_gam5_B=5select=0.95n=50p=200",4.438,3.26,0,0.576167723536145,0
"carve_gam30_B=5select=0.95n=50p=200",4.438,3.26,0,0.576167723536145,0.058
"split_gam30_B=5select=0.95n=50p=200",4.438,3.26,0,0.576167723536145,0
"carve_gam5_B=5select=0.95n=100p=133",10.548,4.998,0.01,0.678329424965243,0.476
"split_gam5_B=5select=0.95n=100p=133",10.548,4.998,0,0.678329424965243,0
"carve_gam30_B=5select=0.95n=100p=133",10.548,4.998,0,0.678329424965243,0.432
"split_gam30_B=5select=0.95n=100p=133",10.548,4.998,0,0.678329424965243,0
"carve_gam5_B=5select=0.95n=200p=200",10.342,5,0.01,0.673864299779129,0.982
"split_gam5_B=5select=0.95n=200p=200",10.342,5,0,0.673864299779129,0
"carve_gam30_B=5select=0.95n=200p=200",10.342,5,0,0.673864299779129,0.976
"split_gam30_B=5select=0.95n=200p=200",10.342,5,0,0.673864299779129,0
"carve_gam5_B=5select=0.95n=600p=200",26.638,5,0.06,0.841879960301015,0.966
"split_gam5_B=5select=0.95n=600p=200",26.638,5,0,0.841879960301015,0
"carve_gam30_B=5select=0.95n=600p=200",26.638,5,0,0.841879960301015,0.92
"split_gam30_B=5select=0.95n=600p=200",26.638,5,0,0.841879960301015,0
"carve_gam5_B=5select=0.95n=50p=1000",5.586,1.922,0.02,0.744010685967149,0.008
"split_gam5_B=5select=0.95n=50p=1000",5.586,1.922,0,0.744010685967149,0
"carve_gam30_B=5select=0.95n=50p=1000",5.586,1.922,0.01,0.744010685967149,0.002
"split_gam30_B=5select=0.95n=50p=1000",5.586,1.922,0,0.744010685967149,0
"carve_gam5_B=5select=0.99n=100p=200",11.03,4.32,0.01,0.718370633886037,0.046
"split_gam5_B=5select=0.99n=100p=200",11.03,4.32,0,0.718370633886037,0
"carve_gam30_B=5select=0.99n=100p=200",11.03,4.32,0,0.718370633886037,0.03
"split_gam30_B=5select=0.99n=100p=200",11.03,4.32,0,0.718370633886037,0
"carve_gam5_B=5select=0.99n=50p=200",4.33,3.304,0,0.566936080495872,0.072
"split_gam5_B=5select=0.99n=50p=200",4.33,3.304,0,0.566936080495872,0
