"","pScreen","EV","ERV","FWER","FDR","Power","Level"
"carve_gam5_B=10select=0.75",0.01,NA,NA,0.17,NA,0.562,NA
"split_gam5_B=10select=0.75",0,NA,NA,0,NA,0,NA
"carve_gam30_B=10select=0.75",0,NA,NA,0.06,NA,0.494,NA
"split_gam30_B=10select=0.75",0,NA,NA,0,NA,0,NA
"carve_gam5_B=10select=0.8",0.02,NA,NA,0.12,NA,0.528,NA
"split_gam5_B=10select=0.8",0,NA,NA,0,NA,0,NA
"carve_gam30_B=10select=0.8",0.01,NA,NA,0.04,NA,0.454,NA
"split_gam30_B=10select=0.8",0,NA,NA,0,NA,0,NA
"carve_gam5_B=10select=0.9",0.02,NA,NA,0.05,NA,0.46,NA
"split_gam5_B=10select=0.9",0,NA,NA,0,NA,0,NA
"carve_gam30_B=10select=0.9",0.03,NA,NA,0.04,NA,0.428,NA
"split_gam30_B=10select=0.9",0,NA,NA,0,NA,0,NA
"carve_gam5_B=10select=0.99",0,NA,NA,0.12,NA,0.35,NA
"split_gam5_B=10select=0.99",0,NA,NA,0,NA,0,NA
"carve_gam30_B=10select=0.99",0,NA,NA,0.04,NA,0.262,NA
"split_gam30_B=10select=0.99",0,NA,NA,0,NA,0,NA
"carve_gam5_B=20select=0.5",0.06,NA,NA,0.7,NA,0.656,NA
"split_gam5_B=20select=0.5",0.04,NA,NA,0.19,NA,0.142,NA
"carve_gam30_B=20select=0.5",0,NA,NA,0.14,NA,0.42,NA
"split_gam30_B=20select=0.5",0,NA,NA,0,NA,0,NA
"carve_gam5_B=20select=0.75",0.04,NA,NA,0.16,NA,0.588,NA
"split_gam5_B=20select=0.75",0,NA,NA,0,NA,0,NA
"carve_gam30_B=20select=0.75",0,NA,NA,0.05,NA,0.446,NA
"split_gam30_B=20select=0.75",0,NA,NA,0,NA,0,NA
"carve_gam5_B=20select=0.8",0,NA,NA,0.13,NA,0.546,NA
"split_gam5_B=20select=0.8",0,NA,NA,0.01,NA,0.006,NA
"carve_gam30_B=20select=0.8",0,NA,NA,0.04,NA,0.434,NA
"split_gam30_B=20select=0.8",0,NA,NA,0,NA,0,NA
"carve_gam5_B=20select=0.9",0,NA,NA,0.06,NA,0.444,NA
"split_gam5_B=20select=0.9",0,NA,NA,0,NA,0,NA
"carve_gam30_B=20select=0.9",0,NA,NA,0.03,NA,0.398,NA
"split_gam30_B=20select=0.9",0,NA,NA,0,NA,0,NA
"carve_gam5_B=20select=0.99",0,NA,NA,0.09,NA,0.332,NA
"split_gam5_B=20select=0.99",0,NA,NA,0,NA,0,NA
"carve_gam30_B=20select=0.99",0,NA,NA,0.03,NA,0.22,NA
"split_gam30_B=20select=0.99",0,NA,NA,0,NA,0,NA
"carve_gam5_B=50select=0.5",0.02,NA,NA,0.4,NA,0.584,NA
"split_gam5_B=50select=0.5",0,NA,NA,0,NA,0.004,NA
"carve_gam30_B=50select=0.5",0,NA,NA,0.11,NA,0.4,NA
"split_gam30_B=50select=0.5",0,NA,NA,0,NA,0,NA
"carve_gam5_B=50select=0.75",0.01,NA,NA,0.1,NA,0.532,NA
"split_gam5_B=50select=0.75",0,NA,NA,0,NA,0,NA
"carve_gam30_B=50select=0.75",0,NA,NA,0.03,NA,0.442,NA
"split_gam30_B=50select=0.75",0,NA,NA,0,NA,0,NA
"carve_gam5_B=50select=0.8",0.01,NA,NA,0.09,NA,0.506,NA
"split_gam5_B=50select=0.8",0,NA,NA,0,NA,0,NA
"carve_gam30_B=50select=0.8",0,NA,NA,0.02,NA,0.418,NA
"split_gam30_B=50select=0.8",0,NA,NA,0,NA,0,NA
"carve_gam5_B=50select=0.9",0.01,NA,NA,0.05,NA,0.402,NA
"split_gam5_B=50select=0.9",0,NA,NA,0,NA,0,NA
"carve_gam30_B=50select=0.9",0,NA,NA,0.02,NA,0.372,NA
"split_gam30_B=50select=0.9",0,NA,NA,0,NA,0,NA
"carve_gam5_B=50select=0.99",0,NA,NA,0.03,NA,0.256,NA
"split_gam5_B=50select=0.99",0,NA,NA,0,NA,0,NA
"carve_gam30_B=50select=0.99",0,NA,NA,0.03,NA,0.21,NA
"split_gam30_B=50select=0.99",0,NA,NA,0,NA,0,NA
