"","EV","ERV","FWER","FDR","Power"
"carve_gam5_B=5select=0.5",13.04,2.54,0.09,0.836888062924555,0.176
"split_gam5_B=5select=0.5",13.04,2.54,0.02,0.836888062924555,0.014
"carve_gam30_B=5select=0.5",13.04,2.54,0.01,0.836888062924555,0.096
"split_gam30_B=5select=0.5",13.04,2.54,0,0.836888062924555,0
"carve_gam5_B=5select=0.75",11.846,3.522,0.04,0.770773021897559,0.164
"split_gam5_B=5select=0.75",11.846,3.522,0.08,0.770773021897559,0.05
"carve_gam30_B=5select=0.75",11.846,3.522,0.01,0.770773021897559,0.126
"split_gam30_B=5select=0.75",11.846,3.522,0,0.770773021897559,0
"carve_gam5_B=5select=0.9",11.352,4.04,0.02,0.737494821238858,0.128
"split_gam5_B=5select=0.9",11.352,4.04,0,0.737494821238858,0
"carve_gam30_B=5select=0.9",11.352,4.04,0,0.737494821238858,0.09
"split_gam30_B=5select=0.9",11.352,4.04,0,0.737494821238858,0
"carve_gam5_B=5select=0.95",11.298,4.102,0.04,0.733572815402234,0.078
"split_gam5_B=5select=0.95",11.298,4.102,0,0.733572815402234,0
"carve_gam30_B=5select=0.95",11.298,4.102,0,0.733572815402234,0.038
"split_gam30_B=5select=0.95",11.298,4.102,0,0.733572815402234,0
"carve_gam5_B=5select=0.99",11.03,4.32,0.01,0.718370633886037,0.046
"split_gam5_B=5select=0.99",11.03,4.32,0,0.718370633886037,0
"carve_gam30_B=5select=0.99",11.03,4.32,0,0.718370633886037,0.03
"split_gam30_B=5select=0.99",11.03,4.32,0,0.718370633886037,0
"carve_gam5_B=10select=0.5",13.059,2.52,0.15,0.838216550788597,0.222
"split_gam5_B=10select=0.5",13.059,2.52,0.04,0.838216550788597,0.026
"carve_gam30_B=10select=0.5",13.059,2.52,0.01,0.838216550788597,0.102
"split_gam30_B=10select=0.5",13.059,2.52,0,0.838216550788597,0
"carve_gam5_B=10select=0.75",11.884,3.506,0.06,0.772183458859429,0.2
"split_gam5_B=10select=0.75",11.884,3.506,0.1,0.772183458859429,0.064
"carve_gam30_B=10select=0.75",11.884,3.506,0,0.772183458859429,0.128
"split_gam30_B=10select=0.75",11.884,3.506,0,0.772183458859429,0
"carve_gam5_B=10select=0.9",11.31,4.048,0.06,0.736359218358741,0.148
"split_gam5_B=10select=0.9",11.31,4.048,0,0.736359218358741,0
"carve_gam30_B=10select=0.9",11.31,4.048,0,0.736359218358741,0.07
"split_gam30_B=10select=0.9",11.31,4.048,0,0.736359218358741,0
"carve_gam5_B=10select=0.95",11.278,4.106,0.04,0.733188446695669,0.108
"split_gam5_B=10select=0.95",11.278,4.106,0,0.733188446695669,0
"carve_gam30_B=10select=0.95",11.278,4.106,0,0.733188446695669,0.044
"split_gam30_B=10select=0.95",11.278,4.106,0,0.733188446695669,0
"carve_gam5_B=10select=0.99",11.019,4.318,0,0.718350216485984,0.042
"split_gam5_B=10select=0.99",11.019,4.318,0,0.718350216485984,0
"carve_gam30_B=10select=0.99",11.019,4.318,0,0.718350216485984,0.026
"split_gam30_B=10select=0.99",11.019,4.318,0,0.718350216485984,0
"carve_gam5_B=20select=0.5",13.0255,2.54,0.04,0.836840914715354,0.18
"split_gam5_B=20select=0.5",13.0255,2.54,0.08,0.836840914715354,0.056
"carve_gam30_B=20select=0.5",13.0255,2.54,0,0.836840914715354,0.096
"split_gam30_B=20select=0.5",13.0255,2.54,0,0.836840914715354,0
"carve_gam5_B=20select=0.75",11.9075,3.4815,0.03,0.773773740669659,0.186
"split_gam5_B=20select=0.75",11.9075,3.4815,0.12,0.773773740669659,0.076
"carve_gam30_B=20select=0.75",11.9075,3.4815,0,0.773773740669659,0.122
"split_gam30_B=20select=0.75",11.9075,3.4815,0,0.773773740669659,0
"carve_gam5_B=20select=0.9",11.324,4.0365,0.02,0.737187819546649,0.128
"split_gam5_B=20select=0.9",11.324,4.0365,0,0.737187819546649,0
"carve_gam30_B=20select=0.9",11.324,4.0365,0,0.737187819546649,0.072
"split_gam30_B=20select=0.9",11.324,4.0365,0,0.737187819546649,0
"carve_gam5_B=20select=0.95",11.257,4.1035,0,0.732934068264741,0.078
"split_gam5_B=20select=0.95",11.257,4.1035,0,0.732934068264741,0
"carve_gam30_B=20select=0.95",11.257,4.1035,0,0.732934068264741,0.036
"split_gam30_B=20select=0.95",11.257,4.1035,0,0.732934068264741,0
"carve_gam5_B=20select=0.99",11.03,4.3055,0,0.719247151310684,0.022
"split_gam5_B=20select=0.99",11.03,4.3055,0,0.719247151310684,0
"carve_gam30_B=20select=0.99",11.03,4.3055,0,0.719247151310684,0.022
"split_gam30_B=20select=0.99",11.03,4.3055,0,0.719247151310684,0
"carve_gam5_B=50select=0.5",13.0082,2.5516,0.06,0.836050885686303,0.176
"split_gam5_B=50select=0.5",13.0082,2.5516,0,0.836050885686303,0
"carve_gam30_B=50select=0.5",13.0082,2.5516,0,0.836050885686303,0.084
"split_gam30_B=50select=0.5",13.0082,2.5516,0,0.836050885686303,0
"carve_gam5_B=50select=0.75",11.9436,3.456,0.04,0.775592371198911,0.192
"split_gam5_B=50select=0.75",11.9436,3.456,0,0.775592371198911,0
"carve_gam30_B=50select=0.75",11.9436,3.456,0.01,0.775592371198911,0.118
"split_gam30_B=50select=0.75",11.9436,3.456,0,0.775592371198911,0
"carve_gam5_B=50select=0.9",11.3166,4.042,0.01,0.736866872363809,0.132
"split_gam5_B=50select=0.9",11.3166,4.042,0,0.736866872363809,0
"carve_gam30_B=50select=0.9",11.3166,4.042,0,0.736866872363809,0.066
"split_gam30_B=50select=0.9",11.3166,4.042,0,0.736866872363809,0
"carve_gam5_B=50select=0.95",11.2542,4.1102,0,0.732563925415904,0.078
"split_gam5_B=50select=0.95",11.2542,4.1102,0,0.732563925415904,0
"carve_gam30_B=50select=0.95",11.2542,4.1102,0,0.732563925415904,0.032
"split_gam30_B=50select=0.95",11.2542,4.1102,0,0.732563925415904,0
"carve_gam5_B=50select=0.99",11.0158,4.3138,0,0.718642401624723,0.018
"split_gam5_B=50select=0.99",11.0158,4.3138,0,0.718642401624723,0
"carve_gam30_B=50select=0.99",11.0158,4.3138,0,0.718642401624723,0.012
"split_gam30_B=50select=0.99",11.0158,4.3138,0,0.718642401624723,0
