"","EV","ERV","FWER","FDR","Power"
"carve_gam5_B=5select=0.5",12.26,3.366,0.03,0.784594621628649,0.434
"split_gam5_B=5select=0.5",12.26,3.366,0.05,0.784594621628649,0.036
"carve_gam30_B=5select=0.5",12.26,3.366,0.01,0.784594621628649,0.308
"split_gam30_B=5select=0.5",12.26,3.366,0,0.784594621628649,0
"carve_gam5_B=5select=0.75",11.024,4.466,0.01,0.711622711269918,0.412
"split_gam5_B=5select=0.75",11.024,4.466,0,0.711622711269918,0
"carve_gam30_B=5select=0.75",11.024,4.466,0,0.711622711269918,0.324
"split_gam30_B=5select=0.75",11.024,4.466,0,0.711622711269918,0
"carve_gam5_B=5select=0.9",10.64,4.81,0,0.688537333432047,0.376
"split_gam5_B=5select=0.9",10.64,4.81,0,0.688537333432047,0
"carve_gam30_B=5select=0.9",10.64,4.81,0,0.688537333432047,0.294
"split_gam30_B=5select=0.9",10.64,4.81,0,0.688537333432047,0
"carve_gam5_B=5select=0.95",10.656,4.81,0.01,0.688823192052689,0.3
"split_gam5_B=5select=0.95",10.656,4.81,0,0.688823192052689,0
"carve_gam30_B=5select=0.95",10.656,4.81,0,0.688823192052689,0.246
"split_gam30_B=5select=0.95",10.656,4.81,0,0.688823192052689,0
"carve_gam5_B=5select=0.99",10.528,4.884,0.02,0.682919803528215,0.18
"split_gam5_B=5select=0.99",10.528,4.884,0,0.682919803528215,0
"carve_gam30_B=5select=0.99",10.528,4.884,0,0.682919803528215,0.12
"split_gam30_B=5select=0.99",10.528,4.884,0,0.682919803528215,0
"carve_gam5_B=10select=0.5",12.284,3.336,0.03,0.786392101498107,0.484
"split_gam5_B=10select=0.5",12.284,3.336,0.09,0.786392101498107,0.064
"carve_gam30_B=10select=0.5",12.284,3.336,0,0.786392101498107,0.3
"split_gam30_B=10select=0.5",12.284,3.336,0,0.786392101498107,0
"carve_gam5_B=10select=0.75",11.059,4.46,0.02,0.71260321613931,0.5
"split_gam5_B=10select=0.75",11.059,4.46,0,0.71260321613931,0
"carve_gam30_B=10select=0.75",11.059,4.46,0,0.71260321613931,0.352
"split_gam30_B=10select=0.75",11.059,4.46,0,0.71260321613931,0
"carve_gam5_B=10select=0.9",10.643,4.817,0.01,0.688384305550831,0.404
"split_gam5_B=10select=0.9",10.643,4.817,0,0.688384305550831,0
"carve_gam30_B=10select=0.9",10.643,4.817,0,0.688384305550831,0.28
"split_gam30_B=10select=0.9",10.643,4.817,0,0.688384305550831,0
"carve_gam5_B=10select=0.95",10.627,4.809,0.01,0.688330443770535,0.31
"split_gam5_B=10select=0.95",10.627,4.809,0,0.688330443770535,0
"carve_gam30_B=10select=0.95",10.627,4.809,0,0.688330443770535,0.234
"split_gam30_B=10select=0.95",10.627,4.809,0,0.688330443770535,0
"carve_gam5_B=10select=0.99",10.558,4.878,0.01,0.68389520820334,0.166
"split_gam5_B=10select=0.99",10.558,4.878,0,0.68389520820334,0
"carve_gam30_B=10select=0.99",10.558,4.878,0,0.68389520820334,0.106
"split_gam30_B=10select=0.99",10.558,4.878,0,0.68389520820334,0
"carve_gam5_B=20select=0.5",12.267,3.3445,0.01,0.785767633516332,0.45
"split_gam5_B=20select=0.5",12.267,3.3445,0.16,0.785767633516332,0.114
"carve_gam30_B=20select=0.5",12.267,3.3445,0,0.785767633516332,0.268
"split_gam30_B=20select=0.5",12.267,3.3445,0,0.785767633516332,0
"carve_gam5_B=20select=0.75",11.0555,4.4555,0.02,0.712740274687983,0.446
"split_gam5_B=20select=0.75",11.0555,4.4555,0.01,0.712740274687983,0.008
"carve_gam30_B=20select=0.75",11.0555,4.4555,0,0.712740274687983,0.31
"split_gam30_B=20select=0.75",11.0555,4.4555,0,0.712740274687983,0
"carve_gam5_B=20select=0.9",10.648,4.8075,0,0.688933899701755,0.37
"split_gam5_B=20select=0.9",10.648,4.8075,0,0.688933899701755,0
"carve_gam30_B=20select=0.9",10.648,4.8075,0,0.688933899701755,0.278
"split_gam30_B=20select=0.9",10.648,4.8075,0,0.688933899701755,0
"carve_gam5_B=20select=0.95",10.641,4.804,0,0.688903869717709,0.258
"split_gam5_B=20select=0.95",10.641,4.804,0,0.688903869717709,0
"carve_gam30_B=20select=0.95",10.641,4.804,0,0.688903869717709,0.198
"split_gam30_B=20select=0.95",10.641,4.804,0,0.688903869717709,0
"carve_gam5_B=20select=0.99",10.5795,4.8815,0,0.684237575863754,0.12
"split_gam5_B=20select=0.99",10.5795,4.8815,0,0.684237575863754,0
"carve_gam30_B=20select=0.99",10.5795,4.8815,0,0.684237575863754,0.082
"split_gam30_B=20select=0.99",10.5795,4.8815,0,0.684237575863754,0
"carve_gam5_B=50select=0.5",12.2538,3.3638,0,0.784624673075376,0.45
"split_gam5_B=50select=0.5",12.2538,3.3638,0.01,0.784624673075376,0.006
"carve_gam30_B=50select=0.5",12.2538,3.3638,0,0.784624673075376,0.274
"split_gam30_B=50select=0.5",12.2538,3.3638,0,0.784624673075376,0
"carve_gam5_B=50select=0.75",11.0372,4.4618,0.01,0.712095115572916,0.46
"split_gam5_B=50select=0.75",11.0372,4.4618,0,0.712095115572916,0
"carve_gam30_B=50select=0.75",11.0372,4.4618,0,0.712095115572916,0.3
"split_gam30_B=50select=0.75",11.0372,4.4618,0,0.712095115572916,0
"carve_gam5_B=50select=0.9",10.653,4.8084,0,0.689002279789609,0.37
"split_gam5_B=50select=0.9",10.653,4.8084,0,0.689002279789609,0
"carve_gam30_B=50select=0.9",10.653,4.8084,0,0.689002279789609,0.274
"split_gam30_B=50select=0.9",10.653,4.8084,0,0.689002279789609,0
"carve_gam5_B=50select=0.95",10.6436,4.8042,0,0.689008382866239,0.292
"split_gam5_B=50select=0.95",10.6436,4.8042,0,0.689008382866239,0
"carve_gam30_B=50select=0.95",10.6436,4.8042,0,0.689008382866239,0.206
"split_gam30_B=50select=0.95",10.6436,4.8042,0,0.689008382866239,0
"carve_gam5_B=50select=0.99",10.578,4.8834,0,0.684159417128505,0.116
"split_gam5_B=50select=0.99",10.578,4.8834,0,0.684159417128505,0
"carve_gam30_B=50select=0.99",10.578,4.8834,0,0.684159417128505,0.072
"split_gam30_B=50select=0.99",10.578,4.8834,0,0.684159417128505,0
